Date,Close,Open,High,Low,Volume
2024-03-22 17:45:00,0.794,0.793,0.794,0.793,0.0
2024-03-22 18:00:00,0.793,0.794,0.794,0.79,17.27
2024-03-22 18:15:00,0.794,0.794,0.794,0.794,0.0
2024-03-22 18:30:00,0.794,0.7945,0.7945,0.794,0.0
2024-03-22 18:45:00,0.7945,0.7955000000000001,0.7955000000000001,0.794,7.96
2024-03-22 19:00:00,0.7955000000000001,0.796,0.796,0.795,7.99
2024-03-22 19:15:00,0.796,0.796,0.796,0.796,0.0
2024-03-22 19:30:00,0.796,0.7965000000000001,0.7965000000000001,0.796,7.64
2024-03-22 19:45:00,0.7965000000000001,0.7937500000000001,0.797,0.7937500000000001,8.17
2024-03-22 20:00:00,0.7937500000000001,0.7905,0.805,0.779,663.76
2024-03-22 20:15:00,0.7905,0.7885,0.794,0.787,122.14
2024-03-22 20:30:00,0.7885,0.7965,0.7965,0.787,9.65
2024-03-22 20:45:00,0.7965,0.8015000000000001,0.803,0.79,2000.0
2024-03-22 21:00:00,0.8015000000000001,0.7977500000000001,0.803,0.7977500000000001,30.25
2024-03-22 21:15:00,0.7977500000000001,0.797,0.8,0.794,52.32
2024-03-22 21:30:00,0.797,0.797,0.797,0.797,0.0
2024-03-22 21:45:00,0.797,0.7975000000000001,0.7975000000000001,0.797,25.26
2024-03-22 22:00:00,0.7975000000000001,0.798,0.798,0.797,7.63
2024-03-22 22:15:00,0.798,0.798,0.798,0.798,0.0
2024-03-22 22:30:00,0.798,0.7985,0.7985,0.798,0.0
2024-03-22 22:45:00,0.7985,0.805,0.805,0.798,109.28
2024-03-22 23:00:00,0.805,0.81,0.812,0.799,1294.07
2024-03-22 23:15:00,0.81,0.81,0.81,0.81,15.03
2024-03-22 23:30:00,0.81,0.81,0.81,0.81,0.0
2024-03-22 23:45:00,0.81,0.8122500000000001,0.8122500000000001,0.81,0.0
2024-03-23 00:00:00,0.8122500000000001,0.80775,0.817,0.80775,67.6
2024-03-23 00:15:00,0.80775,0.804,0.812,0.803,82.85
