Date,Open,High,Low,Close,Volume,pc,ob_created,ob_created_bull,last_cross_index,OBBullMitigation,OBBearMitigation
2024-02-16 17:30:00,51972.69,52015.01,51807.2,52015.01,190.905546,,False,False,,,
2024-02-16 18:00:00,52015.01,52035.74,51822.79,51930.63,217.120842,,False,False,,52015.01,52015.01
2024-02-16 18:30:00,51930.63,52039.65,51826.41,51971.7,152.426212,,False,False,,51930.63,51930.63
2024-02-16 19:00:00,51971.7,52035.37,51870.15,51894.6,149.344379,,False,False,,51971.7,51971.7
2024-02-16 19:30:00,51894.6,51919.47,51652.59,51754.45,297.618638,-0.1502519881114558,False,False,,51894.6,51894.6
2024-02-16 20:00:00,51754.45,51872.8,51685.31,51773.89,258.964034,-0.5009323270340714,True,False,0,51754.45,51754.45
2024-02-16 20:30:00,51773.89,51899.89,51756.01,51836.99,184.676882,-0.30182572404763425,False,False,1,51773.89,51773.89
2024-02-16 21:00:00,51836.99,51910.0,51758.0,51903.3,122.1871,-0.25919875624618616,False,False,2,51836.99,51836.99
2024-02-16 21:30:00,51903.3,52009.49,51894.01,51981.95,102.045921,0.01676475008961311,False,False,3,51903.3,51903.3
2024-02-16 22:00:00,51981.95,51996.13,51888.25,51904.01,73.017292,0.4395757273046086,False,True,0,51981.95,51981.95
2024-02-16 22:30:00,51904.01,51994.0,51900.44,51982.61,44.980785,0.25132359187227893,False,False,1,51904.01,51904.01
2024-02-16 23:00:00,51982.61,52110.94,51956.05,52099.99,122.762195,0.2809190888591383,False,True,0,51982.61,51982.61
2024-02-16 23:30:00,52099.99,52220.0,52066.13,52124.0,155.271642,0.3789547100087953,False,False,1,52099.99,52099.99
2024-02-17 00:00:00,52124.0,52164.64,52066.25,52075.99,113.463893,0.2732679324265498,False,False,2,52124.0,52124.0
2024-02-17 00:30:00,52075.99,52112.0,52006.04,52008.11,79.421006,0.33134241458414465,False,True,0,52075.99,52075.99
2024-02-17 01:00:00,52008.11,52028.77,51910.57,51933.06,100.668715,0.04905486661789394,False,False,1,52008.11,52008.11
2024-02-17 01:30:00,51933.06,51980.69,51846.45,51972.01,107.755943,-0.3204031325149972,True,False,0,51933.06,51933.06
2024-02-17 02:00:00,51972.01,52019.36,51925.0,51956.39,69.238287,-0.29159312408870763,False,False,1,51972.01,51972.01
2024-02-17 02:30:00,51956.39,51961.94,51884.0,51939.31,53.599185,-0.22966438084038066,False,False,2,51956.39,51956.39
2024-02-17 03:00:00,51939.31,51973.95,51892.91,51894.0,80.352508,-0.13228706061420595,False,False,3,51939.31,51939.31
2024-02-17 03:30:00,51894.0,51971.89,51893.99,51969.99,57.35966,-0.07521220586654757,False,False,4,51894.0,51894.0
2024-02-17 04:00:00,51969.99,51997.79,51928.85,51982.67,67.67978,-0.0038867074796685263,False,False,,51969.99,51969.99
2024-02-17 04:30:00,51982.67,52057.3,51982.67,52013.97,80.641439,0.050580881389178184,False,False,,51982.67,51982.67
2024-02-17 05:00:00,52013.97,52014.52,51791.25,51871.98,115.582169,0.14374468971575383,False,False,,52013.97,52013.97
2024-02-17 05:30:00,51871.98,51920.49,51830.43,51919.47,50.142177,-0.042432651173539906,False,False,,51871.98,51871.98
2024-02-17 06:00:00,51919.47,51951.62,51886.5,51915.6,57.940699,-0.09720994751008573,False,False,,51919.47,51919.47
2024-02-17 06:30:00,51915.6,51950.0,51886.12,51924.78,39.936964,-0.12902376888297523,False,False,,51915.6,51915.6
2024-02-17 07:00:00,51924.78,51960.56,51912.81,51941.16,43.060501,-0.17147316384425632,False,False,,51924.78,51924.78
2024-02-17 07:30:00,51941.16,51963.24,51907.03,51910.65,38.241652,0.13336680034191925,False,False,,51941.16,51941.16
2024-02-17 08:00:00,51910.65,51910.65,51800.01,51806.01,87.83399,-0.01698784675575407,False,False,,51910.65,51910.65
2024-02-17 08:30:00,51806.01,51832.0,51708.01,51736.51,112.775576,-0.21109261955943207,False,False,,51806.01,51806.01
2024-02-17 09:00:00,51736.51,51791.62,51650.73,51732.87,169.542441,-0.36258218137851866,True,False,0,51736.51,51736.51
2024-02-17 09:30:00,51732.87,51797.9,51677.05,51677.05,104.90684,-0.4010114521893636,False,False,1,51732.87,51732.87
2024-02-17 10:00:00,51677.05,51699.44,51500.0,51583.96,340.270282,-0.4500039972529694,False,False,2,51677.05,51677.05
2024-02-17 10:30:00,51583.96,51730.0,51570.01,51724.26,123.690547,-0.4286182240245927,False,False,3,51583.96,51583.96
2024-02-17 11:00:00,51724.26,51758.0,51682.02,51714.02,164.173689,-0.02367766979257008,False,False,4,51724.26,51724.26
2024-02-17 11:30:00,51714.02,51802.12,51674.57,51694.25,89.520082,-0.036437182008277946,False,False,,51714.02,51714.02
2024-02-17 12:00:00,51694.25,51708.56,51631.37,51632.01,110.807215,0.0332836336439427,False,False,,51694.25,51694.25
2024-02-17 12:30:00,51632.01,51736.98,51558.37,51712.12,110.207345,0.09314911069255426,False,False,,51632.01,51632.01
2024-02-17 13:00:00,51712.12,51716.0,51324.0,51380.6,296.698445,-0.02347061127602293,False,False,,51712.12,51712.12
2024-02-17 13:30:00,51380.6,51451.87,51092.84,51184.24,939.650858,-0.6447381193726542,True,False,0,51380.6,51380.6
2024-02-17 14:00:00,51184.24,51331.84,51162.23,51203.61,267.976613,-0.986589417585132,False,False,1,51184.24,51184.24
2024-02-17 14:30:00,51203.61,51218.58,50619.39,50841.56,1474.115034,-0.8297178436400238,False,False,2,51203.61,51203.61
2024-02-17 15:00:00,50841.56,50991.06,50640.01,50987.45,436.217105,-1.6834738161962899,False,False,3,50841.56,50841.56
2024-02-17 15:30:00,50987.45,51176.07,50940.16,50985.21,336.015307,-0.765172068835322,False,False,4,50987.45,50987.45
2024-02-17 16:00:00,50985.21,50985.21,50736.61,50823.82,217.149251,-0.38885016169039305,False,False,,50985.21,50985.21
2024-02-17 16:30:00,50823.82,51025.0,50755.47,50948.01,165.327842,-0.7417250463395079,False,False,,50823.82,50823.82
2024-02-17 17:00:00,50948.01,51235.99,50943.1,51076.12,283.311746,0.2093759514853682,False,False,,50948.01,50948.01
2024-02-17 17:30:00,51076.12,51265.24,51056.0,51212.02,139.589033,0.17390553950041732,False,False,,51076.12,51076.12
2024-02-17 18:00:00,51212.02,51264.0,51140.01,51261.72,113.129562,0.44485449800049404,False,True,0,51212.02,51212.02
2024-02-17 18:30:00,51261.72,51294.87,51212.31,51263.28,102.540658,0.8616038699963944,False,False,1,51261.72,51261.72
2024-02-17 19:00:00,51263.28,51436.62,51228.0,51413.11,150.715628,0.618807290019761,False,False,2,51263.28,51263.28
2024-02-17 19:30:00,51413.11,51445.99,51350.01,51397.59,85.461302,0.6597799519618913,False,False,3,51413.11,51413.11
2024-02-17 20:00:00,51397.59,51428.21,51301.81,51384.35,72.377402,0.36235633743796813,False,False,4,51397.59,51397.59
2024-02-17 20:30:00,51384.35,51561.89,51370.0,51514.2,155.870585,0.23922334248635702,False,False,,51384.35,51384.35
2024-02-17 21:00:00,51514.2,51926.79,51445.64,51846.92,437.000948,0.48947316675795666,False,True,0,51514.2,51514.2
2024-02-17 21:30:00,51846.92,52049.16,51707.0,51802.7,406.564944,0.8437731154563451,False,False,1,51846.92,51846.92
2024-02-17 22:00:00,51802.7,51878.48,51687.59,51790.7,229.125683,0.7881887069024065,False,False,2,51802.7,51802.7
2024-02-17 22:30:00,51790.7,51850.64,51590.02,51712.82,106.447786,0.7908049824508797,False,False,3,51790.7,51790.7
2024-02-17 23:00:00,51712.82,51712.82,51597.76,51639.62,115.344069,0.38556359217458996,False,False,4,51712.82,51712.82
2024-02-17 23:30:00,51639.62,51740.41,51620.73,51647.99,117.691374,-0.3998308867720506,True,False,0,51639.62,51639.62
2024-02-18 00:00:00,51647.99,51767.99,51614.02,51635.54,95.745512,-0.29865238684469947,False,False,1,51647.99,51647.99
